Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep
Annen primærhelsebygning;739;Kartverket;Gyldig;03.01.2022;1;annen primærhelsebygning, eller bygning som har nær tilknytning til/tjener slik(e) bygning(er);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/739;
Annen restaurantbygning;539;Kartverket;Gyldig;03.01.2022;1;Andre spisesteder som ikke passer inn i kodene over, eller bygning som har nær tilknytning til/tjener slik(e) bygning(er).;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/539;
Annen skolebygning;619;Kartverket;Gyldig;03.01.2022;1;Annen skolebygning. andre skoler som ikke passer inn under ovennevnte kategorier, eller bygning som har nær tilknytning til/tjener slik(e) bygning(er).;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/619;
Annen universitet, høgskole og forskningsbygning;629;Kartverket;Gyldig;03.01.2022;1;Andre universitets- og høgskolebygninger som ikke passer inn under ovennevnte kategorier , eller bygning som har nær tilknytning til/tjener slik(e) bygning(er).;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/629;
Annen veg- og trafikktilsynsbygning;449;Kartverket;Gyldig;03.01.2022;1;Annen veg- og trafikktilsynsbygning;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/449;
Annet kulturhus;669;Kartverket;Gyldig;03.01.2022;1;Annet kulturhus. andre multifunksjonshus for kultur og idrett, herunder ungdomsklubb, som ikke passer inn under ovennevnte kategorier , eller bygning som har nær tilknytning til/tjener slik(e) bygning(er).;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/669;
Annet sykehjem;729;Kartverket;Gyldig;03.01.2022;1;Annet sykehjem. annet sykehjem, eller bygning som har nær tilknytning til/tjener slik(e) bygning(er).;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/729;
Appartement;523;Kartverket;Gyldig;03.01.2022;1;Appartement. bygning med fritidsboliger/ boliger til utleie, boligene har bad og kokemuligheter, og leies oftest for døgn- eller ukebasis. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/523;
Bankbygning, posthus;312;Kartverket;Gyldig;03.01.2022;1;Bankbygning, posthus. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/312;
Barnehage;612;Kartverket;Gyldig;03.01.2022;1;Barnehage. sted for opphold for barn 1 - 5 år. Kan være heldag og halvdag, og det er knyttet et visst pedagogisk innhold til oppholdet. Selve barnehagebygningen er ofte velutstyrt, med flere avdelinger, spiserom/hvilerom for de ansatte og kjøkken. Styrt av Barnehageloven;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/612;
Barneskole;613;Kartverket;Gyldig;03.01.2022;1;Barneskole. skolebygning for skoleklassene 1-7, for barn i alderen 6-12 år.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/613;
Bedehus, menighetshus;672;Kartverket;Gyldig;03.01.2022;1;Bedehus. menighetshus. kristent forsamlingshus;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/672;
